식품명	1회제공량
꿩불고기	500
닭갈비	400
닭갈비	300
닭꼬치	70
더덕구이	100
도미구이	250
돼지갈비	100
병어구이	250
불고기	150
붕장어소금구이	100
소양념갈비구이	300
양념왕갈비	150
양념장어구이	150
임연수구이	250
짚불구이곰장어	200
햄버그스테이크	200
황태구이	200
훈제오리	250
게국지	1100
곰치국	1000
굴국밥	650
김치국	450
떡만둣국	700
만둣국	700
맑은감자국	700
매생이국	500
무된장국	450
미소된장국	150
바지락조개국	550
뼈다귀해장국	1000
선지해장국	1000
소고기무국	400
소고기미역국	650
순대국	800
시래기된장국	450
올갱이국	600
우거지해장국	600
우렁된장국	500
탕국	250
홍합미역국	650
황태해장국	600
고추잡채	200
난자완스	200
도토리묵말이	1300
라조기	200
물회	700
생선물회	800
소고기샤브샤브	600
오징어순대	350
초당순두부	900
해파리냉채	150
고들빼기	50
열무얼갈이김치	50
미나리나물	50
취나물	50
콩나물	50
경단(깨)	100
경단(콩)	100
기피편	100
녹두시루떡	100
메밀전병	100
무지개떡	100
송편(깨)	100
송편(콩)	100
수수부꾸미	100
수수팥떡	100
시루떡	100
쑥떡	100
절편	100
찹쌀떡	100
간자장	650
굴짬뽕	900
기스면	1000
김치라면	650
김치우동	800
냉김치말이국수	600
닭칼국수	900
둘깨칼국수	600
막국수	1000
삼선우동	1000
삼선자장면	700
삼선짬뽕	900
쌀국수	600
열무김치국수	800
열무냉면	800
오일소스스파게티	400
올갱이국수	1500
우동(일식)	700
우동(중식)	1000
울면	1000
자장면	650
짬뽕라면	750
치즈라면	600
크림소스스파게티	400
토마토소스스파게티	500
해물칼국수	900
해물크림소스스파게티	500
해물토마토소스스파게티	500
골뱅이무침	100
노각무침	150
단무지무침	50
달래나물무침	150
더덕무침	150
도토리묵	100
밴댕이무침	400
서대회무침	300
쑥갓나물무침	150
우거지나물무침	150
쥐치채	20
청포묵무침	250
탕평채	100
홍어무침	200
고추장불고기 삼각김밥	100
곤드레나물밥	350
국밥	800
농어초밥	250
돼지국밥	1200
류산슬덮밥	550
멍게비빔밥	400
멸치주먹밥	150
묵밥	950
문어초밥	250
비빔밥	450
삼선볶음밥	400
새우초밥	250
새우튀김롤	300
샐러드김밥	250
생선초밥(광어)	300
생선초밥(모듬)	300
소고기국밥	700
소고기김밥	250
송이덮밥	600
숯불갈비 삼각김밥	100
약초비빔밥	400
연어롤	300
연어초밥	250
오곡밥	250
자장밥	500
잡탕밥	750
장어덮밥	400
장어초밥	250
참치덮밥	500
참치마요네즈 삼각김밥	100
충무김밥	400
캘리포니아롤	300
한치초밥	250
해물덮밥	700
해물볶음밥	400
회덮밥	500
깻잎나물볶음	200
돼지고기볶음	200
돼지껍데기볶음	150
두부김치	250
머위나물볶음	150
멸치풋고추볶음	20
소세지볶음	200
순대볶음	400
양송이버섯볶음	150
오삼불고기	200
주꾸미볶음	200
표고버섯볶음	150
해물볶음	400
곰보빵	70
만주	70
버터크림빵	60
불고기피자	200
참치샌드위치	250
찹쌀도우넛	70
채소고로케	100
초콜릿케이크	100
치즈케이크	100
치즈피자	200
페이스트리빵	70
페퍼로니피자	200
포테이토피자	250
수정과	150
식혜	150
간장마늘쫑장아찌	50
고추장마늘쫑장아찌	50
매실장아찌	30
무장아찌	30
계적	250
낙지꼬지	80
돔베기적	100
소고기산적	200
소라산적	80
오징어산적	80
홍어적	100
홍합산적	80
가자미전	150
고추전	150
굴전	100
깻잎전	150
녹두빈대떡	100
동그랑땡(육원전)	150
동태전	150
두부전	150
미나리전	150
배추전	150
버섯전	150
야채전	100
파전	150
햄부침	100
호박부침개	100
호박전	150
화양적	150
가자미조림	300
고추조림	100
동태조림	250
돼지고기메추리알장조림	50
북어조림	100
소고기메추리알장조림	50
조기조림	300
게살죽	800
